listener,sentence,snr,talker,filename
0,52-10,-3.0,NWM005,NWM005_52-10_-3.0.wav
0,65-03,-3.0,NWM007,NWM007_65-03_-3.0.wav
0,36-01,+2.0,NWM084,NWM084_36-01_+2.0.wav
0,22-03,+2.0,NWM079,NWM079_22-03_+2.0.wav
0,48-03,+1.0,NWF002,NWF002_48-03_+1.0.wav
0,59-04,+2.0,NWM082,NWM082_59-04_+2.0.wav
0,16-02,-2.0,NWM002,NWM002_16-02_-2.0.wav
0,01-07,-3.0,NWF002,NWF002_01-07_-3.0.wav
0,12-03,-1.0,NWM083,NWM083_12-03_-1.0.wav
0,07-09,+2.0,NWF143,NWF143_07-09_+2.0.wav
0,45-10,+2.0,NWM083,NWM083_45-10_+2.0.wav
0,20-04,-1.0,NWM055,NWM055_20-04_-1.0.wav
0,34-01,+2.0,NWM078,NWM078_34-01_+2.0.wav
0,39-10,+0.0,NWF136,NWF136_39-10_+0.0.wav
0,31-03,+1.0,NWF139,NWF139_31-03_+1.0.wav
0,41-08,+0.0,NWF144,NWF144_41-08_+0.0.wav
0,47-01,+1.0,NWM004,NWM004_47-01_+1.0.wav
0,49-05,+2.0,NWF003,NWF003_49-05_+2.0.wav
0,04-02,+1.0,NWF009,NWF009_04-02_+1.0.wav
0,45-08,+1.0,NWM082,NWM082_45-08_+1.0.wav
0,13-03,+2.0,NWM086,NWM086_13-03_+2.0.wav
0,08-07,-1.0,NWM077,NWM077_08-07_-1.0.wav
0,06-05,-2.0,NWF137,NWF137_06-05_-2.0.wav
0,53-03,-1.0,NWF133,NWF133_53-03_-1.0.wav
0,50-06,-1.0,NWF009,NWF009_50-06_-1.0.wav
0,55-07,-2.0,NWF140,NWF140_55-07_-2.0.wav
0,16-01,-3.0,NWM001,NWM001_16-01_-3.0.wav
0,05-05,+0.0,NWM007,NWM007_05-05_+0.0.wav
0,12-10,+0.0,NWM084,NWM084_12-10_+0.0.wav
0,18-05,-1.0,NWF137,NWF137_18-05_-1.0.wav
0,56-07,+2.0,NWM005,NWM005_56-07_+2.0.wav
0,67-10,-3.0,NWF137,NWF137_67-10_-3.0.wav
0,17-05,+0.0,NWM005,NWM005_17-05_+0.0.wav
0,37-05,+0.0,NWF002,NWF002_37-05_+0.0.wav
0,34-10,+1.0,NWM083,NWM083_34-10_+1.0.wav
0,07-08,+1.0,NWF142,NWF142_07-08_+1.0.wav
0,06-01,+2.0,NWF135,NWF135_06-01_+2.0.wav
0,67-05,+0.0,NWF133,NWF133_67-05_+0.0.wav
0,65-09,+2.0,NWM002,NWM002_65-09_+2.0.wav
0,67-09,+2.0,NWF136,NWF136_67-09_+2.0.wav
0,49-08,-3.0,NWF004,NWF004_49-08_-3.0.wav
0,22-07,-1.0,NWM082,NWM082_22-07_-1.0.wav
0,52-07,+2.0,NWM004,NWM004_52-07_+2.0.wav
0,61-09,+2.0,NWF002,NWF002_61-09_+2.0.wav
0,08-02,+2.0,NWF004,NWF004_08-02_+2.0.wav
0,71-08,+0.0,NWM079,NWM079_71-08_+0.0.wav
0,24-07,-1.0,NWF002,NWF002_24-07_-1.0.wav
0,31-10,-3.0,NWF142,NWF142_31-10_-3.0.wav
0,05-07,+1.0,NWF133,NWF133_05-07_+1.0.wav
0,15-06,+0.0,NWF004,NWF004_15-06_+0.0.wav
0,14-04,-2.0,NWF002,NWF002_14-04_-2.0.wav
0,30-02,-2.0,NWF135,NWF135_30-02_-2.0.wav
0,11-05,-3.0,NWM081,NWM081_11-05_-3.0.wav
0,71-05,-2.0,NWM077,NWM077_71-05_-2.0.wav
0,40-06,+1.0,NWF137,NWF137_40-06_+1.0.wav
0,41-02,-1.0,NWF143,NWF143_41-02_-1.0.wav
0,18-02,-3.0,NWF135,NWF135_18-02_-3.0.wav
0,56-09,+1.0,NWF144,NWF144_56-09_+1.0.wav
0,18-01,+2.0,NWF133,NWF133_18-01_+2.0.wav
0,55-04,-3.0,NWF139,NWF139_55-04_-3.0.wav
0,08-04,-2.0,NWM055,NWM055_08-04_-2.0.wav
0,66-01,-3.0,NWM004,NWM004_66-01_-3.0.wav
0,28-01,+2.0,NWM007,NWM007_28-01_+2.0.wav
0,24-02,-2.0,NWM086,NWM086_24-02_-2.0.wav
0,70-02,+0.0,NWF142,NWF142_70-02_+0.0.wav
0,31-01,-1.0,NWM001,NWM001_31-01_-1.0.wav
0,14-06,-1.0,NWF003,NWF003_14-06_-1.0.wav
0,48-01,+0.0,NWM086,NWM086_48-01_+0.0.wav
0,34-02,-3.0,NWM079,NWM079_34-02_-3.0.wav
0,70-06,+2.0,NWF144,NWF144_70-06_+2.0.wav
0,02-01,-2.0,NWF003,NWF003_02-01_-2.0.wav
0,67-01,-1.0,NWM007,NWM007_67-01_-1.0.wav
0,53-01,-2.0,NWM007,NWM007_53-01_-2.0.wav
0,23-09,-3.0,NWM085,NWM085_23-09_-3.0.wav
0,32-09,-2.0,NWF143,NWF143_32-09_-2.0.wav
0,30-04,-1.0,NWF136,NWF136_30-04_-1.0.wav
0,57-06,-2.0,NWM078,NWM078_57-06_-2.0.wav
0,60-09,+0.0,NWM085,NWM085_60-09_+0.0.wav
0,64-05,-1.0,NWF008,NWF008_64-05_-1.0.wav
0,56-02,-1.0,NWF142,NWF142_56-02_-1.0.wav
0,46-02,-3.0,NWM083,NWM083_46-02_-3.0.wav
0,23-08,+2.0,NWM085,NWM085_23-08_+2.0.wav
0,24-09,+0.0,NWF003,NWF003_24-09_+0.0.wav
0,51-06,+1.0,NWM002,NWM002_51-06_+1.0.wav
0,07-10,-3.0,NWF144,NWF144_07-10_-3.0.wav
0,23-01,+0.0,NWM083,NWM083_23-01_+0.0.wav
0,36-10,-2.0,NWM085,NWM085_36-10_-2.0.wav
0,17-03,-1.0,NWM004,NWM004_17-03_-1.0.wav
0,55-02,+2.0,NWF137,NWF137_55-02_+2.0.wav
0,19-10,-2.0,NWF144,NWF144_19-10_-2.0.wav
0,56-10,+2.0,NWM055,NWM055_56-10_+2.0.wav
0,55-01,+1.0,NWF136,NWF136_55-01_+1.0.wav
0,62-06,-3.0,NWF003,NWF003_62-06_-3.0.wav
0,22-01,+0.0,NWM077,NWM077_22-01_+0.0.wav
0,60-03,-2.0,NWM083,NWM083_60-03_-2.0.wav
0,25-04,-3.0,NWF009,NWF009_25-04_-3.0.wav
0,34-08,+0.0,NWM082,NWM082_34-08_+0.0.wav
0,22-02,+1.0,NWM078,NWM078_22-02_+1.0.wav
0,40-07,+2.0,NWF139,NWF139_40-07_+2.0.wav
0,30-06,+0.0,NWF137,NWF137_30-06_+0.0.wav
0,19-07,-3.0,NWF143,NWF143_19-07_-3.0.wav
0,22-04,-3.0,NWM080,NWM080_22-04_-3.0.wav
0,06-04,-3.0,NWF136,NWF136_06-04_-3.0.wav
0,15-09,+2.0,NWF009,NWF009_15-09_+2.0.wav
0,63-05,-2.0,NWF004,NWF004_63-05_-2.0.wav
0,34-06,-1.0,NWM081,NWM081_34-06_-1.0.wav
0,70-04,+1.0,NWF143,NWF143_70-04_+1.0.wav
0,58-03,+0.0,NWM080,NWM080_58-03_+0.0.wav
0,10-06,+0.0,NWM078,NWM078_10-06_+0.0.wav
0,18-06,+0.0,NWF139,NWF139_18-06_+0.0.wav
0,17-06,+1.0,NWM007,NWM007_17-06_+1.0.wav
0,50-01,-2.0,NWF008,NWF008_50-01_-2.0.wav
0,33-01,-1.0,NWF144,NWF144_33-01_-1.0.wav
0,31-04,+2.0,NWF140,NWF140_31-04_+2.0.wav
0,02-06,-1.0,NWF004,NWF004_02-06_-1.0.wav
0,39-04,-1.0,NWF135,NWF135_39-04_-1.0.wav
0,70-09,-3.0,NWM055,NWM055_70-09_-3.0.wav
0,68-08,-1.0,NWF140,NWF140_68-08_-1.0.wav
0,13-07,-3.0,NWM086,NWM086_13-07_-3.0.wav
0,57-02,-3.0,NWM077,NWM077_57-02_-3.0.wav
0,41-09,+1.0,NWM055,NWM055_41-09_+1.0.wav
0,60-10,+1.0,NWM086,NWM086_60-10_+1.0.wav
0,06-10,+0.0,NWF140,NWF140_06-10_+0.0.wav
0,26-09,-2.0,NWM001,NWM001_26-09_-2.0.wav
0,71-06,-1.0,NWM078,NWM078_71-06_-1.0.wav
0,18-04,-2.0,NWF136,NWF136_18-04_-2.0.wav
0,45-01,-2.0,NWM079,NWM079_45-01_-2.0.wav
0,66-05,-2.0,NWM005,NWM005_66-05_-2.0.wav
0,04-05,-3.0,NWM002,NWM002_04-05_-3.0.wav
1,07-09,+1.0,NWF135,NWF135_07-09_+1.0.wav
1,38-02,-1.0,NWF002,NWF002_38-02_-1.0.wav
1,34-06,-2.0,NWF144,NWF144_34-06_-2.0.wav
1,22-08,-3.0,NWM085,NWM085_22-08_-3.0.wav
1,47-04,-2.0,NWM079,NWM079_47-04_-2.0.wav
1,59-05,+2.0,NWM055,NWM055_59-05_+2.0.wav
1,22-04,+2.0,NWF143,NWF143_22-04_+2.0.wav
1,36-01,+1.0,NWM078,NWM078_36-01_+1.0.wav
1,02-06,-2.0,NWM083,NWM083_02-06_-2.0.wav
1,70-04,+0.0,NWF135,NWF135_70-04_+0.0.wav
1,24-07,-2.0,NWM081,NWM081_24-07_-2.0.wav
1,37-01,-2.0,NWM080,NWM080_37-01_-2.0.wav
1,48-01,-1.0,NWM080,NWM080_48-01_-1.0.wav
1,06-01,+1.0,NWM001,NWM001_06-01_+1.0.wav
1,55-01,+0.0,NWM002,NWM002_55-01_+0.0.wav
1,51-06,+0.0,NWF002,NWF002_51-06_+0.0.wav
1,72-05,+0.0,NWF143,NWF143_72-05_+0.0.wav
1,70-02,-1.0,NWF133,NWF133_70-02_-1.0.wav
1,67-06,+0.0,NWM001,NWM001_67-06_+0.0.wav
1,71-06,-2.0,NWF140,NWF140_71-06_-2.0.wav
1,23-08,+1.0,NWM079,NWM079_23-08_+1.0.wav
1,12-03,-2.0,NWM077,NWM077_12-03_-2.0.wav
1,18-06,-1.0,NWM005,NWM005_18-06_-1.0.wav
1,19-07,+2.0,NWF135,NWF135_19-07_+2.0.wav
1,27-07,-1.0,NWF003,NWF003_27-07_-1.0.wav
1,23-07,+0.0,NWM078,NWM078_23-07_+0.0.wav
1,39-04,-2.0,NWM001,NWM001_39-04_-2.0.wav
1,04-02,+0.0,NWM085,NWM085_04-02_+0.0.wav
1,68-02,-3.0,NWM005,NWM005_68-02_-3.0.wav
1,51-04,-1.0,NWM086,NWM086_51-04_-1.0.wav
1,25-02,+1.0,NWM084,NWM084_25-02_+1.0.wav
1,59-04,+1.0,NWM055,NWM055_59-04_+1.0.wav
1,47-01,+0.0,NWF003,NWF003_47-01_+0.0.wav
1,27-06,-2.0,NWF002,NWF002_27-06_-2.0.wav
1,16-01,+2.0,NWM086,NWM086_16-01_+2.0.wav
1,17-05,-1.0,NWF004,NWF004_17-05_-1.0.wav
1,16-02,-3.0,NWF002,NWF002_16-02_-3.0.wav
1,25-04,+2.0,NWM085,NWM085_25-04_+2.0.wav
1,23-01,-1.0,NWM077,NWM077_23-01_-1.0.wav
1,19-06,+1.0,NWF133,NWF133_19-06_+1.0.wav
1,28-01,+1.0,NWF008,NWF008_28-01_+1.0.wav
1,39-01,-3.0,NWF009,NWF009_39-01_-3.0.wav
1,27-09,+0.0,NWF004,NWF004_27-09_+0.0.wav
1,24-09,-1.0,NWM082,NWM082_24-09_-1.0.wav
1,22-07,-2.0,NWM055,NWM055_22-07_-2.0.wav
1,67-01,-2.0,NWF008,NWF008_67-01_-2.0.wav
1,53-03,-2.0,NWF009,NWF009_53-03_-2.0.wav
1,40-10,-3.0,NWF133,NWF133_40-10_-3.0.wav
1,55-04,+2.0,NWM005,NWM005_55-04_+2.0.wav
1,46-02,+2.0,NWM077,NWM077_46-02_+2.0.wav
1,17-06,+0.0,NWF008,NWF008_17-06_+0.0.wav
1,01-07,+2.0,NWM081,NWM081_01-07_+2.0.wav
1,45-02,-2.0,NWF143,NWF143_45-02_-2.0.wav
1,18-05,-2.0,NWM004,NWM004_18-05_-2.0.wav
1,31-04,+1.0,NWM007,NWM007_31-04_+1.0.wav
1,33-08,+0.0,NWF139,NWF139_33-08_+0.0.wav
1,05-02,-2.0,NWF004,NWF004_05-02_-2.0.wav
1,08-02,+1.0,NWM083,NWM083_08-02_+1.0.wav
1,57-09,-2.0,NWF142,NWF142_57-09_-2.0.wav
1,44-10,+2.0,NWF140,NWF140_44-10_+2.0.wav
1,22-06,-3.0,NWF144,NWF144_22-06_-3.0.wav
1,67-10,+2.0,NWM004,NWM004_67-10_+2.0.wav
1,07-10,+2.0,NWF136,NWF136_07-10_+2.0.wav
1,20-04,-2.0,NWF137,NWF137_20-04_-2.0.wav
1,45-05,-1.0,NWF144,NWF144_45-05_-1.0.wav
1,56-10,+1.0,NWF137,NWF137_56-10_+1.0.wav
1,46-05,-3.0,NWM078,NWM078_46-05_-3.0.wav
1,49-05,+1.0,NWM082,NWM082_49-05_+1.0.wav
1,42-09,+1.0,NWF139,NWF139_42-09_+1.0.wav
1,72-06,+1.0,NWF144,NWF144_72-06_+1.0.wav
1,37-09,+0.0,NWM082,NWM082_37-09_+0.0.wav
1,62-06,+2.0,NWM082,NWM082_62-06_+2.0.wav
1,53-01,-3.0,NWF008,NWF008_53-01_-3.0.wav
1,65-03,+2.0,NWF008,NWF008_65-03_+2.0.wav
1,17-03,-2.0,NWF003,NWF003_17-03_-2.0.wav
1,55-07,-3.0,NWM007,NWM007_55-07_-3.0.wav
1,08-07,-2.0,NWF139,NWF139_08-07_-2.0.wav
1,31-01,-2.0,NWM086,NWM086_31-01_-2.0.wav
1,30-04,-2.0,NWM002,NWM002_30-04_-2.0.wav
1,26-09,-3.0,NWM086,NWM086_26-09_-3.0.wav
1,50-01,-3.0,NWM084,NWM084_50-01_-3.0.wav
1,37-05,-1.0,NWM081,NWM081_37-05_-1.0.wav
1,13-07,+2.0,NWM080,NWM080_13-07_+2.0.wav
1,52-07,+1.0,NWF003,NWF003_52-07_+1.0.wav
1,57-02,+2.0,NWF139,NWF139_57-02_+2.0.wav
1,45-01,-3.0,NWF142,NWF142_45-01_-3.0.wav
1,07-08,+0.0,NWF133,NWF133_07-08_+0.0.wav
1,58-03,-1.0,NWF143,NWF143_58-03_-1.0.wav
1,34-02,+2.0,NWF142,NWF142_34-02_+2.0.wav
1,56-08,-1.0,NWF135,NWF135_56-08_-1.0.wav
1,36-10,-3.0,NWM079,NWM079_36-10_-3.0.wav
1,34-08,-1.0,NWM055,NWM055_34-08_-1.0.wav
1,16-10,+2.0,NWM084,NWM084_16-10_+2.0.wav
1,65-08,+0.0,NWM086,NWM086_65-08_+0.0.wav
1,49-08,+2.0,NWM083,NWM083_49-08_+2.0.wav
1,18-01,+1.0,NWF009,NWF009_18-01_+1.0.wav
1,31-10,+2.0,NWF133,NWF133_31-10_+2.0.wav
1,45-08,+0.0,NWM055,NWM055_45-08_+0.0.wav
1,10-10,+1.0,NWF143,NWF143_10-10_+1.0.wav
1,24-02,-3.0,NWM080,NWM080_24-02_-3.0.wav
1,30-06,-1.0,NWM004,NWM004_30-06_-1.0.wav
1,57-06,-3.0,NWF140,NWF140_57-06_-3.0.wav
1,64-06,-1.0,NWM085,NWM085_64-06_-1.0.wav
1,15-06,-1.0,NWM083,NWM083_15-06_-1.0.wav
1,39-10,-1.0,NWM002,NWM002_39-10_-1.0.wav
1,66-05,-3.0,NWF004,NWF004_66-05_-3.0.wav
1,61-09,+1.0,NWM081,NWM081_61-09_+1.0.wav
1,55-02,+1.0,NWM004,NWM004_55-02_+1.0.wav
1,04-08,-3.0,NWF003,NWF003_04-08_-3.0.wav
1,53-09,-1.0,NWM001,NWM001_53-09_-1.0.wav
1,22-02,+0.0,NWF140,NWF140_22-02_+0.0.wav
1,04-05,+2.0,NWF002,NWF002_04-05_+2.0.wav
1,71-08,-1.0,NWF142,NWF142_71-08_-1.0.wav
1,05-05,-1.0,NWF008,NWF008_05-05_-1.0.wav
1,56-02,-2.0,NWF133,NWF133_56-02_-2.0.wav
1,67-05,-1.0,NWF009,NWF009_67-05_-1.0.wav
1,11-07,-3.0,NWM055,NWM055_11-07_-3.0.wav
1,28-08,+2.0,NWF009,NWF009_28-08_+2.0.wav
1,36-08,+2.0,NWM078,NWM078_36-08_+2.0.wav
1,06-09,-2.0,NWM005,NWM005_06-09_-2.0.wav
1,58-08,+0.0,NWF144,NWF144_58-08_+0.0.wav
1,25-01,+0.0,NWM083,NWM083_25-01_+0.0.wav
1,70-06,+1.0,NWF136,NWF136_70-06_+1.0.wav
1,33-01,-2.0,NWF136,NWF136_33-01_-2.0.wav
1,60-09,-1.0,NWM079,NWM079_60-09_-1.0.wav
1,31-03,+0.0,NWM005,NWM005_31-03_+0.0.wav
1,14-04,-3.0,NWM081,NWM081_14-04_-3.0.wav
1,06-05,-3.0,NWM004,NWM004_06-05_-3.0.wav
1,40-07,+1.0,NWM005,NWM005_40-07_+1.0.wav
1,19-02,+0.0,NWM007,NWM007_19-02_+0.0.wav
1,50-06,-2.0,NWM085,NWM085_50-06_-2.0.wav
1,64-05,-2.0,NWM084,NWM084_64-05_-2.0.wav
1,41-02,-2.0,NWF135,NWF135_41-02_-2.0.wav
1,34-05,-3.0,NWF143,NWF143_34-05_-3.0.wav
1,63-05,-3.0,NWM083,NWM083_63-05_-3.0.wav
1,33-05,-1.0,NWF137,NWF137_33-05_-1.0.wav
1,18-04,-3.0,NWM002,NWM002_18-04_-3.0.wav
1,68-08,-2.0,NWM007,NWM007_68-08_-2.0.wav
1,65-09,+1.0,NWF002,NWF002_65-09_+1.0.wav
1,23-09,+2.0,NWM079,NWM079_23-09_+2.0.wav
1,10-06,-1.0,NWF140,NWF140_10-06_-1.0.wav
1,13-01,+0.0,NWM079,NWM079_13-01_+0.0.wav
1,34-10,+0.0,NWM077,NWM077_34-10_+0.0.wav
1,60-07,-2.0,NWM078,NWM078_60-07_-2.0.wav
1,13-03,+1.0,NWM080,NWM080_13-03_+1.0.wav
1,56-07,+1.0,NWF004,NWF004_56-07_+1.0.wav
1,70-09,+2.0,NWF137,NWF137_70-09_+2.0.wav
1,02-01,-3.0,NWM082,NWM082_02-01_-3.0.wav
1,22-01,-1.0,NWF139,NWF139_22-01_-1.0.wav
1,06-10,-1.0,NWM007,NWM007_06-10_-1.0.wav
1,56-09,+0.0,NWF136,NWF136_56-09_+0.0.wav
1,60-10,+0.0,NWM080,NWM080_60-10_+0.0.wav
1,08-04,-3.0,NWF137,NWF137_08-04_-3.0.wav
1,40-06,+0.0,NWM004,NWM004_40-06_+0.0.wav
1,15-09,+1.0,NWM085,NWM085_15-09_+1.0.wav
1,15-07,+0.0,NWM084,NWM084_15-07_+0.0.wav
1,06-04,+2.0,NWM002,NWM002_06-04_+2.0.wav
1,48-03,+0.0,NWM081,NWM081_48-03_+0.0.wav
1,11-05,+2.0,NWF144,NWF144_11-05_+2.0.wav
1,18-02,+2.0,NWM001,NWM001_18-02_+2.0.wav
1,04-04,+1.0,NWM086,NWM086_04-04_+1.0.wav
1,41-09,+0.0,NWF137,NWF137_41-09_+0.0.wav
1,12-10,-1.0,NWM078,NWM078_12-10_-1.0.wav
1,03-10,-1.0,NWM084,NWM084_03-10_-1.0.wav
1,71-05,-3.0,NWF139,NWF139_71-05_-3.0.wav
1,67-09,+1.0,NWM002,NWM002_67-09_+1.0.wav
1,52-10,+2.0,NWF004,NWF004_52-10_+2.0.wav
1,19-10,-3.0,NWF136,NWF136_19-10_-3.0.wav
1,14-06,-2.0,NWM082,NWM082_14-06_-2.0.wav
1,32-09,-3.0,NWF135,NWF135_32-09_-3.0.wav
1,41-08,-1.0,NWF136,NWF136_41-08_-1.0.wav
1,22-03,+1.0,NWF142,NWF142_22-03_+1.0.wav
1,10-09,+0.0,NWF142,NWF142_10-09_+0.0.wav
1,60-03,-3.0,NWM077,NWM077_60-03_-3.0.wav
1,66-01,+2.0,NWF003,NWF003_66-01_+2.0.wav
1,45-10,+1.0,NWM077,NWM077_45-10_+1.0.wav
1,34-01,+1.0,NWF140,NWF140_34-01_+1.0.wav
1,30-02,-3.0,NWM001,NWM001_30-02_-3.0.wav
1,05-07,+0.0,NWF009,NWF009_05-07_+0.0.wav
1,40-09,+2.0,NWM007,NWM007_40-09_+2.0.wav
2,23-08,+0.0,NWF142,NWF142_23-08_+0.0.wav
2,16-02,+2.0,NWM081,NWM081_16-02_+2.0.wav
2,18-04,+2.0,NWF002,NWF002_18-04_+2.0.wav
2,49-08,+1.0,NWM077,NWM077_49-08_+1.0.wav
2,67-09,+0.0,NWF002,NWF002_67-09_+0.0.wav
2,18-06,-2.0,NWF004,NWF004_18-06_-2.0.wav
2,17-06,-1.0,NWM084,NWM084_17-06_-1.0.wav
2,31-10,+1.0,NWF009,NWF009_31-10_+1.0.wav
2,65-08,-1.0,NWM080,NWM080_65-08_-1.0.wav
2,34-02,+1.0,NWF133,NWF133_34-02_+1.0.wav
2,34-01,+0.0,NWM007,NWM007_34-01_+0.0.wav
2,27-06,-3.0,NWM081,NWM081_27-06_-3.0.wav
2,04-04,+0.0,NWM080,NWM080_04-04_+0.0.wav
2,04-02,-1.0,NWM079,NWM079_04-02_-1.0.wav
2,64-06,-2.0,NWM079,NWM079_64-06_-2.0.wav
2,15-06,-2.0,NWM077,NWM077_15-06_-2.0.wav
2,56-07,+0.0,NWM083,NWM083_56-07_+0.0.wav
2,25-04,+1.0,NWM079,NWM079_25-04_+1.0.wav
2,02-06,-3.0,NWM077,NWM077_02-06_-3.0.wav
2,08-04,+2.0,NWM004,NWM004_08-04_+2.0.wav
2,56-08,-2.0,NWM001,NWM001_56-08_-2.0.wav
2,56-10,+0.0,NWM004,NWM004_56-10_+0.0.wav
2,19-02,-1.0,NWF008,NWF008_19-02_-1.0.wav
2,44-10,+1.0,NWM007,NWM007_44-10_+1.0.wav
2,08-07,-3.0,NWM005,NWM005_08-07_-3.0.wav
2,08-02,+0.0,NWM077,NWM077_08-02_+0.0.wav
2,67-10,+1.0,NWF003,NWF003_67-10_+1.0.wav
2,51-04,-2.0,NWM080,NWM080_51-04_-2.0.wav
2,06-01,+0.0,NWM086,NWM086_06-01_+0.0.wav
2,56-09,-1.0,NWM002,NWM002_56-09_-1.0.wav
2,53-03,-3.0,NWM085,NWM085_53-03_-3.0.wav
2,34-08,-2.0,NWF137,NWF137_34-08_-2.0.wav
2,55-07,+2.0,NWF008,NWF008_55-07_+2.0.wav
2,55-01,-1.0,NWF002,NWF002_55-01_-1.0.wav
2,40-10,+2.0,NWF009,NWF009_40-10_+2.0.wav
2,13-01,-1.0,NWF142,NWF142_13-01_-1.0.wav
2,11-05,+1.0,NWF136,NWF136_11-05_+1.0.wav
2,17-03,-3.0,NWM082,NWM082_17-03_-3.0.wav
2,45-05,-2.0,NWF136,NWF136_45-05_-2.0.wav
2,14-06,-3.0,NWM055,NWM055_14-06_-3.0.wav
2,22-06,+2.0,NWF136,NWF136_22-06_+2.0.wav
2,71-06,-3.0,NWM007,NWM007_71-06_-3.0.wav
2,34-06,-3.0,NWF136,NWF136_34-06_-3.0.wav
2,65-03,+1.0,NWM084,NWM084_65-03_+1.0.wav
2,17-05,-2.0,NWM083,NWM083_17-05_-2.0.wav
2,34-05,+2.0,NWF135,NWF135_34-05_+2.0.wav
2,12-03,-3.0,NWF139,NWF139_12-03_-3.0.wav
2,22-04,+1.0,NWF135,NWF135_22-04_+1.0.wav
2,64-05,-3.0,NWM078,NWM078_64-05_-3.0.wav
2,70-06,+0.0,NWM002,NWM002_70-06_+0.0.wav
2,55-02,+0.0,NWF003,NWF003_55-02_+0.0.wav
2,32-09,+2.0,NWM001,NWM001_32-09_+2.0.wav
2,62-06,+1.0,NWM055,NWM055_62-06_+1.0.wav
2,05-07,-1.0,NWM085,NWM085_05-07_-1.0.wav
2,18-01,+0.0,NWM085,NWM085_18-01_+0.0.wav
2,05-02,-3.0,NWM083,NWM083_05-02_-3.0.wav
2,18-02,+1.0,NWM086,NWM086_18-02_+1.0.wav
2,66-05,+2.0,NWM083,NWM083_66-05_+2.0.wav
2,07-08,-1.0,NWF009,NWF009_07-08_-1.0.wav
2,30-02,+2.0,NWM086,NWM086_30-02_+2.0.wav
2,07-10,+1.0,NWM002,NWM002_07-10_+1.0.wav
2,22-01,-2.0,NWM005,NWM005_22-01_-2.0.wav
2,45-10,+0.0,NWF139,NWF139_45-10_+0.0.wav
